Id,Fecha,Hora local,Latitud N(°),Longitud W(°),Localizacion,Profundidad (km),Magnitud,Intensidad
4662,"Abr 26, 2020",2:16:43 PM,13.6737,-89.0467,"En Lago de Ilopango, San Salvador. A 13 km al suroeste de Cojutepeque.",5,3,III en Ilopango
4661,"Abr 26, 2020",5:35:00 AM,12.681,-88.3587,Frente a la costa de UsulutÃ¡n. A 54 km al sur de Playa El Espino.,47.73,3.8,II en UsulutÃ¡n
4660,"Abr 25, 2020",5:51:20 AM,13.2957,-88.0792,En munic. de Chirilagua. A 23 km al sureste de San Miguel.,2,2.6,II en Chirilagua
4659,"Abr 24, 2020",8:16:45 AM,13.1835,-89.6058,Frente a la costa de La Libertad. A 36 km al sur de Playa Mizata.,55.4,4.1,II en La Libertad
4658,"Abr 24, 2020",8:05:37 AM,13.8927,-89.7747,En munic. de AhuachapÃ¡n.,2.45,2.7,III en AhuachapÃ¡n
4657,"Abr 24, 2020",8:01:20 AM,13.9077,-89.7842,En munic. de AhuachapÃ¡n.,4.38,2.6,II-III en AhuachapÃ¡n
4656,"Abr 19, 2020",5:31:46 AM,14.4788,-90.469,En Territorio Guatemalteco. A 113 km al noroeste de ciudad de Santa Ana.,11.1,3.8,II en Santa Ana
4655,"Abr 19, 2020",2:18:30 AM,14.4135,-90.5122,En Territorio Guatemalteco. A 113 km al noroeste de ciudad de Santa Ana.,2,4.3,II en Santa Ana
4654,"Abr 18, 2020",6:35:27 PM,13.2333,-89.7122,Frente a la costa de La Libertad. A 33 km al sur de Playa Mizata.,32.03,3.6,II en La Libertad
4653,"Abr 14, 2020",5:38:13 PM,12.9695,-89.0457,Frente a la costa de La Paz. A 39 km al suroeste de Estero de Jaltepeque.,40.88,3.6,II en Zacatecoluca
4652,"Abr 14, 2020",6:37:58 AM,13.0042,-89.4292,Frente a la costa de La Libertad. A 54 km al sur de Playa El Tunco,28.53,4.1,II en La Libertad
4651,"Abr 10, 2020",7:19:14 PM,14.0743,-89.7043,"En munic. de Chalchuapa, Santa Ana. A 18 km al noroeste de Santa Ana.",7.73,2.7,II en Chalchuapa
4650,"Abr 09, 2020",10:47:09 PM,12.813,-88.7435,Frente a la costa de UsulutÃ¡n. A 45 km al sur de PenÃ­nsula San Juan del Gozo.,29.76,4.1,II en UsulutÃ¡n
4649,"Abr 09, 2020",1:02:34 AM,12.5925,-88.4488,Frente a la costa de UsulutÃ¡n. A 64 km al sur de BahÃ­a de Jiquilisco.,21.09,4.1,II en UsulutÃ¡n
4648,"Abr 06, 2020",3:44:02 AM,12.6695,-88.3473,Frente a la costa de UsulutÃ¡n. A 56 km al sur de Playa El Espino.,35.03,3.5,II en UsulutÃ¡n
4647,"Abr 03, 2020",2:20:02 PM,12.9797,-89.079,Frente a la costa de La Paz. A 40 km al suroeste de Estero de Jaltepeque.,29.95,4.2,II en La Paz
4646,"Abr 02, 2020",4:15:37 AM,11.799,-88.4655,Frente a costa de Nicaragua.,10,5.1,II-III en La UniÃ³n
4645,"Abr 01, 2020",9:49:52 PM,12.795,-90.2715,Frente a la costa de AhuachapÃ¡n. A 95 km al suroeste de Playa Los CÃ³banos.,17.19,3.6,II en AhuachapÃ¡n
4644,"Abr 01, 2020",8:47:08 PM,12.5687,-88.6293,Frente a la costa de UsulutÃ¡n. A 69 km al sur de BahÃ­a de Jiquilisco.,29.54,3.9,II en UsulutÃ¡n
4643,30-Mar-20,10:28:16 PM,12.9203,-89.555,Frente a la costa de La Libertad. A 65 km al sur de Playa Mizata.,23.35,3.5,II en La Libertad
4642,30-Mar-20,10:47:24 AM,11.8063,-86.6788,Frente a la costa de Nicaragua. A 189 km al sureste de Isla de Meanguera.,64.2,5.2,II en Meanguera
4641,30-Mar-20,4:02:33 AM,12.9857,-89.1722,Frente a la costa de La Paz. A 43 km al sur de Playa San Marcelino.,32.4,3.9,II en Zacatecoluca
4640,29-Mar-20,2:26:02 PM,13.6775,-91.3622,Frente a la costa de Guatemala. A 143 km al suroeste de ciudad de AhuachapÃ¡n.,15,4.8,II en AhuachapÃ¡n
4639,28-Mar-20,9:00:56 PM,13.1167,-89.2241,Frente a la costa de La Paz. A 33 km al suroeste de Playa Las Hojas.,22.7,4.2,II en San Salvador
4638,28-Mar-20,8:10:37 PM,13.1032,-90.0368,Frente a la costa de Sonsonate. A 53 km al suroeste de Playa Los CÃ³banos.,15.31,3.7,II en Sonsonate
4637,28-Mar-20,12:40:01 AM,13.41,-90.4972,Frente a la costa de Guatemala. A 61 km al suroeste de Barra de Santiago.,55.06,4.3,II en San Salvador
4636,27-Mar-20,3:17:01 PM,13.5705,-90.1107,Frente a la costa de AhuachapÃ¡n. A 17 km al suroeste de Barra de Santiago.,45,3.9,II en ahuachapÃ¡n
4635,25-Mar-20,7:05:07 PM,12.7083,-88.3402,Frente a la costa de UsulutÃ¡n. A 51 km al sur de Playa El Espino.,50.81,3.5,II en UsulutÃ¡n
4634,23-Mar-20,2:28:38 AM,13.9515,-89.982,"En munic. de Tacuba, AhuachapÃ¡n. A 14 km al oeste de AhuachapÃ¡n.",6.04,2.9,II en Tacuba
4633,22-Mar-20,8:11:31 PM,12.6885,-88.3188,Frente a la costa de UsulutÃ¡n. A 53 km al sur de Playa El Espino.,30.58,3.9,II en UsulutÃ¡n
4632,21-Mar-20,10:39:02 PM,13.271,-88.101,En munic. de Chirilagua. A 24 km al sur de San Miguel.,7,3.1,III en Chirilagua
4631,21-Mar-20,5:31:21 AM,12.5635,-89.0543,Frente a la costa de La Paz. A 80 km al sur de Desembocadura del RÃ­o Lempa.,3.76,3.5,II en La Paz
4630,21-Mar-20,12:53:33 AM,13.5228,-88.5147,"En munic. de AlegrÃ­a, UsulutÃ¡n. A 21 km al norte de UsulutÃ¡n.",5.91,2.5,II en AlegrÃ­a
4629,20-Mar-20,8:00:18 PM,13.1932,-89.7383,Frente a la costa de Sonsonate. A 37 km al sur de Playa Los CÃ³banos.,29.87,3.5,II en Sonsonate
4628,20-Mar-20,12:17:03 PM,12.7908,-88.7925,Frente a la costa de UsulutÃ¡n. A 49 km al sur de PenÃ­nsula San Juan del Gozo.,34.87,4,II en UsulutÃ¡n
4627,19-Mar-20,3:54:05 AM,13.1542,-89.8237,Frente a la costa de Sonsonate. A 41 km al sur de Playa Los CÃ³banos.,21.46,3.7,II en Sonsonate
4626,18-Mar-20,12:16:45 PM,13.4595,-89.5572,Frente a la costa de La Libertad. A 7 km al sureste de Playa Mizata.,107.76,3.8,II en La Libertad
4625,17-Mar-20,7:59:25 AM,13.5562,-90.8687,Frente a la costa de Guatemala. A 94 km al oeste de Barra de Santiago.,52.26,4.4,II en AhuachapÃ¡n
4624,15-Mar-20,8:53:25 AM,13.0033,-89.6112,Frente a la costa de La Libertad. A 56 km al sur de Playa Mizata.,30.48,3.9,II en La Libertad
4623,12-Mar-20,10:55:37 AM,13.0963,-89.2662,Frente a la costa de La Libertad. A 37 km al suroeste de Playa La Zunganera.,45.28,3.6,II en La Libertad
4622,12-Mar-20,4:24:13 AM,12.512,-88.212,Frente a la costa de UsulutÃ¡n. A 73 km al sur de Playa El Espino.,28.11,3.9,II en UsulutÃ¡n.
4621,10-Mar-20,1:31:17 PM,13.875,-89.7632,En municipio de Apaneca. A 11 km al sureste de AhuachapÃ¡n,2.6,2.9,III en Apaneca
4620,10-Mar-20,1:17:34 PM,13.857,-89.76,En munic. de Apaneca. A 12 km al sureste de AhuachapÃ¡n.,2,3.1,III en Apaneca
4619,10-Mar-20,1:16:35 PM,13.8688,-89.7933,"En munic. de Apaneca, AhuachapÃ¡n. A 8 km al sureste de AhuachapÃ¡n.",1.1,3.2,III en Apaneca
4618,10-Mar-20,8:12:00 AM,13.0262,-89.6018,Frente a la costa de La Libertad. A 53 km al sur de Playa Mizata.,23.01,4.4,III en La Libertad
4617,9-Mar-20,3:22:54 PM,12.6295,-88.18,Frente a la costa de UsulutÃ¡n. A 60 km al sur de Playa El Cuco.,52.22,4,II en La UniÃ³n
4616,4-Mar-20,6:39:02 PM,12.6188,-87.7858,Frente a la costa de Nicaragua. A 63 km al sur de Playa Las Tunas.,67.28,4,II en La UniÃ³n
4615,2-Mar-20,3:10:48 AM,13.1378,-89.634,Frente a la costa de La Libertad. A 41 km al sur de Playa Mizata.,46.2,3.5,II en la Libertad
4614,1-Mar-20,7:52:01 AM,12.9177,-88.6962,Frente a la costa de UsulutÃ¡n. A 33 km al sur de PenÃ­nsula San Juan del Gozo.,58.47,3.8,II en UsulutÃ¡n
4613,27-Feb-20,2:55:55 PM,12.883,-88.7933,Frente a la costa de UsulutÃ¡n. A 40 km al suroeste de PenÃ­nsula San Juan del Gozo.,30.61,4.2,II-III en UsulutÃ¡n
4612,27-Feb-20,2:49:24 PM,13.1743,-89.3527,Frente a la costa de La Libertad. A 34 km al sur de Playa San Diego.,46.53,4,II en La Libertad
4611,26-Feb-20,7:59:06 PM,13.6915,-90.9662,Frente a la costa de Guatemala. A 103 km al oeste de Barra de Santiago.,35.76,4.4,II en AhuachapÃ¡n
4610,26-Feb-20,5:13:59 PM,13.8753,-89.6953,"En munic. de JuayÃºa, Sonsonate. A 17 km al norte de Sonsonate.",3.35,2.5,II en Los Naranjos
4609,24-Feb-20,6:13:34 PM,13.6329,-91.4926,Frente a la costa de Guatemala. A 145 km al suroeste de ciudad de AhuachapÃ¡n.,47,4.7,II en AhuachapÃ¡n
4608,23-Feb-20,3:16:52 AM,13.0083,-89.549,Frente a la costa de La Libertad. A 55 km al sur de Playa Mizata.,29.77,3.8,II en La Libertad
4607,22-Feb-20,10:06:19 PM,12.5918,-88.6828,Frente a la costa de UsulutÃ¡n. A 69 km al sur de PenÃ­nsula San Juan del Gozo.,16.95,3.7,II en UsulutÃ¡n
4606,18-Feb-20,4:55:11 PM,13.1227,-89.547,Frente a la costa de La Libertad. A 43 km al sur de Playa Mizata.,51.22,3.6,II en La Libertad
4605,15-Feb-20,6:33:41 AM,12.5272,-87.7277,Frente a la costa de Nicaragua. A 73 km al sur de Isla de Meanguera.,68.3,3.9,II en La UniÃ³n
4604,14-Feb-20,2:16:30 PM,12.8968,-88.5268,Frente a la costa de UsulutÃ¡n. A 54 km al sur de PenÃ­nsula San Juan del Gozo.,19,5.4,III en San Salvador
4603,14-Feb-20,5:26:45 AM,13.8035,-90.9017,Frente a la costa de Guatemala. A 96 km al sur de ciudad de Guatemala.,85.27,4.1,II en AhuachapÃ¡n
4602,14-Feb-20,1:53:35 AM,12.2433,-89.3723,Frente a la costa de La Paz. A 126 km al suroeste de Desembocadura del RÃ­o Lempa.,9.1,4.1,II en Zacatecoluca
4601,13-Feb-20,6:12:27 PM,12.8642,-88.9345,Frente a la costa de La Paz. A 45 km al sur de Desembocadura del RÃ­o Lempa.,27.34,3.7,II en Zacatecoluca
4600,10-Feb-20,8:30:54 PM,13.1175,-89.4825,Frente a la costa de La Libertad. A 42 km al sur de Playa El Sunzal.,36.85,4.7,III en San Salvador
4599,10-Feb-20,12:35:54 AM,12.895,-90.21,Frente a la costa de Sonsonate. A 82 km al suroeste de Playa Los CÃ³banos.,18.07,3.9,II en Sonsonate
4598,9-Feb-20,8:54:39 PM,14.4637,-87.4928,En Territorio HondureÃ±o.,4.04,4.6,II en MorazÃ¡n
4597,9-Feb-20,2:29:03 AM,13.0998,-89.2283,Frente a la costa de La Paz. A 34 km al suroeste de Playa Las Hojas.,47.35,5.1,III en San Salvador
4596,7-Feb-20,5:07:54 PM,13.0405,-89.1807,Frente a la costa de La Paz. A 38 km al sur de Playa Las Hojas.,38.02,4.3,II en San Salvador
4595,6-Feb-20,6:41:02 PM,13.2608,-88.0527,"En munic. de Chirilagua, San Miguel. A 23 km al oeste de La UniÃ³n.",1.84,3.2,III en Chirilagua
4594,4-Feb-20,12:03:45 PM,13.7155,-89.2037,"En munic. de San Salvador, San Salvador. A 1 km al Norponiente de San Salvador",5,2.8,II-en San Salvador
4593,3-Feb-20,2:03:43 AM,13.7178,-89.254,"En munic. de San Salvador, San Salvador. A 5 km al noreste de Santa Tecla.",2.09,2.6,II en San Salvador
4592,3-Feb-20,1:22:15 AM,13.2003,-89.2912,Frente a la costa de La Libertad. A 28 km al suroeste de Playa La Zunganera.,56.86,3.8,II en Santa Tecla
4591,2-Feb-20,8:44:05 PM,13.7218,-89.2562,"En munic. de San Salvador, San Salvador. A 5 km al norte de Santa Tecla.",2.37,2.6,II en San Salvador
4590,2-Feb-20,7:25:26 PM,12.7628,-88.6622,Frente a la costa de UsulutÃ¡n. A 50 km al sur de PenÃ­nsula San Juan del Gozo.,35.64,4.2,II en UsulutÃ¡n
4589,1-Feb-20,7:39:40 PM,13.7047,-89.2687,"En munic. de San Salvador, San Salvador. A 3 km al norte de Santa Tecla.",5,3.2,III en san Salvador.
4588,1-Feb-20,7:37:52 PM,13.7462,-89.2547,"En munic. de Nejapa, San Salvador. A 7 km al noroeste de San Salvador.",1.5,2.9,II-III en San Salvador
4587,1-Feb-20,7:32:23 PM,13.6982,-89.2577,"En munic. de Antiguo CuscatlÃ¡n, La Libertad. A 3 km al noreste de Santa Tecla.",4.72,2.9,II-III en SanSalvador
4586,"Ene 31, 2020",10:30:02 PM,13.7218,-89.261,"En munic. de San Salvador, San Salvador. A 5 km al norte de Santa Tecla.",7.51,2.7,II en San Salvador
4585,"Ene 31, 2020",7:59:00 PM,13.6882,-89.1868,En munic.San Salvador. San Salvador.,5,2.6,II en San Salvador
4584,"Ene 31, 2020",6:20:55 AM,13.7407,-89.2518,"En munic. de Nejapa, San Salvador. A 7 km al noroeste de San Salvador.",3.26,2.8,II en San Salvador
4583,"Ene 31, 2020",1:18:19 AM,13.0237,-89.4715,Frente a la costa de La Libertad. A 52 km al sur de Playa El Sunzal.,41.3,3.8,II en San Salvador
4582,"Ene 29, 2020",9:04:30 PM,13.5195,-88.5182,"En munic. de AlegrÃ­a, UsulutÃ¡n. A 21 km al noroeste de UsulutÃ¡n.",3,2.6,II en Alegria
4581,"Ene 29, 2020",8:28:19 PM,13.521,-88.5245,"En munic. de BerlÃ­n, UsulutÃ¡n. A 21 km al noroeste de UsulutÃ¡n.",4,2.5,II en Berlin
4580,"Ene 29, 2020",8:19:27 PM,13.5583,-88.4915,"En munic. de Mercedes UmaÃ±a, UsulutÃ¡n. A 24 km al norte de UsulutÃ¡n.",4,2.6,II en Mercedes UmaÃ±a
4579,"Ene 29, 2020",8:10:34 PM,13.5402,-88.5005,"En munic. de Mercedes UmaÃ±a, UsulutÃ¡n. A 22 km al norte de UsulutÃ¡n.",3.04,2.8,II en Mercedes UmaÃ±a
4578,"Ene 29, 2020",7:45:08 PM,13.519,-88.5042,"En munic. de AlegrÃ­a, UsulutÃ¡n. A 20 km al norte de UsulutÃ¡n.",3.03,3.3,III en Alegria
4577,"Ene 29, 2020",4:40:52 PM,13.5532,-88.5035,"En munic. de Mercedes UmaÃ±a, UsulutÃ¡n. A 24 km al norte de UsulutÃ¡n.",2.91,2.9,"II en BerlÃ­n, UsulutÃ¡n"
4576,"Ene 29, 2020",9:09:57 AM,13.1337,-89.2657,Frente a la costa de La Libertad. A 33 km al suroeste de Playa La Zunganera.,47.54,3.8,II en San Salvador
4575,"Ene 27, 2020",4:10:11 PM,12.0678,-87.721,Frente a la costa de Nicaragua. A 123 km al sur de Playa Las Tunas.,19.04,4.4,II en Conchagua
4574,"Ene 24, 2020",3:59:07 PM,11.3178,-86.701,Frente a la costa de Nicaragua. A 234 km al sureste de Isla de Meanguera.,36.23,5.3,II en La UnÃ­Ã³n
4573,"Ene 24, 2020",5:51:28 AM,13.0508,-89.4798,Frente a la costa de La Libertad. A 50 km al sur de Playa El Sunzal.,37.1,4.1,II en La Libertad
4572,"Ene 22, 2020",8:22:22 PM,13.3723,-89.618,Frente a la costa de La Libertad. A 15 km al sur de Playa Mizata.,62.73,3.5,II en San Salvador
4571,"Ene 22, 2020",6:21:15 PM,13.022,-89.592,Frente a la costa de La Libertad. A 54 km al sur de Playa Mizata.,33.48,3.5,II en San Salvador
4570,"Ene 20, 2020",1:29:19 PM,12.7485,-88.2732,Frente a la costa de UsulutÃ¡n. A 46 km al sur de Playa El Espino.,67.07,3.6,II en UsulutaÃ¡n
4569,"Ene 19, 2020",6:23:55 AM,12.9918,-89.4222,Frente a la costa de La Libertad. A 55 km al suroeste de Playa La Zunganera.,34.92,3.6,II en San Salvador
4568,"Ene 18, 2020",5:04:16 PM,13.1547,-89.2735,Frente a la costa de La Libertad. A 31 km al suroeste de Playa La Zunganera.,49.84,3.6,II en San salvador
4567,"Ene 16, 2020",10:29:05 PM,13.6903,-90.8462,Frente a la costa de Guatemala. A 90 km al oeste de Barra de Santiago.,30,4,II en AhuachapÃ¡n
4566,"Ene 16, 2020",7:45:58 AM,12.9928,-89.5207,Frente a la costa de La Libertad. A 57 km al sur de Playa El Sunzal.,34.83,4.1,II en San Salvador
4565,"Ene 15, 2020",9:42:29 AM,14.4312,-88.605,En Territorio HondureÃ±o. A 56 km al noreste de la ciudad de Chalatenango.,4.66,4.2,II en Chalatenango
4564,"Ene 14, 2020",5:46:50 PM,13.7023,-89.1955,"En munic. de San Salvador, San Salvador. A 0 km al noreste de San Salvador.",9.75,2.8,II en San Salvador
4563,"Ene 10, 2020",11:32:40 PM,13.884,-89.708,"En munic. de JuayÃºa, Sonsonate. A 16 km al este de AhuachapÃ¡n.",6.68,3.5,III en JuayÃºa
4562,"Ene 10, 2020",10:00:05 AM,12.8918,-88.759,Frente a la costa de UsulutÃ¡n. A 37 km al sur de PenÃ­nsula San Juan del Gozo.,71.78,5.3,III en UsulutÃ¡n
